geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
166,Glacier Ridge Neighborhood Association,No,195.4,576,86.4,1385,11.1,27.9,2.7,83.3,2.8,8.1,1.6,4.3,550,363,39.7,3.1,579,0,0,2002,3,14,240697,116.43,1,35,3,1,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,3,0,N/A,7.5
110,McClellan Park Neighborhood Association,No,550.4,1020,64.5,2227,9,22.3,21.1,81.7,6.7,3.9,3.7,4,920,518,27.5,5.2,1123,5,0,2005,10,13,232324,116.96,5,38,5,10,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",61.1,75,N/A,8
500,Dunn's Marsh Neighborhood Association,Yes,218.2,1032,27.6,2356,11.6,34.6,4.1,32.1,33.7,5.1,4.9,24.2,892,525,39.6,21.4,1021,353,0,1964,7,66,128700,106.2,81,180,454,90,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",98.9,708,N/A,6.3
84,Cherokee Park Neighborhood Association,No,209,839,97.7,1431,1.7,9,35.1,94.8,1.5,1.3,1,1.4,777,426,9.4,1.5,899,0,0,1983,3,17,255785,92.08,1,8,2,2,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,98,20,N/A,5.6
137,South Campus Property Owners Association,No,113.2,1528,0,4194,0,0.1,0.3,80.5,2.6,11.9,2.3,2.7,1448,28,0.1,0.1,1770,109,48,1992,0,22,N/A,N/A,16,163,141,59,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"H,P,B,G,C",100,6301,N/A,7.9
182,Schenk-Atwood-Starkweather-Yahara Neighborhood Association,No,570.8,3117,51.4,5773,4.9,15.6,6.2,88,3.7,1.6,2.9,3.8,2996,1189,17.7,4.3,3129,23,0,1925,11,128,213863,162.77,34,242,218,103,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",99.4,3022,N/A,6.1
124,Stonefield Woods-Ridge Neighborhood Association,No,45.1,101,99.6,235,2.2,18.2,17.5,87.3,2.6,8.6,0.2,1.4,97,82,24.9,2.7,101,0,0,1990,0,1,363759,112.3,0,3,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,26.3,176,N/A,7.3
172,Oakwood Village Association,No,29.8,100,25.7,119,0,0,97.9,98.3,0.2,0.8,0.5,0.3,86,16,0,0,219,30,0,1975,0,0,N/A,N/A,0,4,2,4,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",100,391,N/A,8.9
131,Parkwood Hills Community Association,No,295.9,538,90,1274,3.7,23.5,18.3,87.5,2,5,2.1,3.4,521,390,28.9,1.9,469,0,0,1972,0,1,321963,109.69,11,34,56,17,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",95.7,863,N/A,6.3
85,Sherman Village Neighborhood Association,No,311.8,1016,90.2,2283,6,19.8,19.3,82.2,5.5,3,2.9,6.3,979,613,21.3,3.7,962,7,0,1965,14,68,142495,96.36,13,36,32,7,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,98.4,246,N/A,6.8
88,High Crossing Neighborhood Association,No,725.3,615,31.1,1020,5.8,14.8,11.9,75.5,12.3,5.9,2,4.3,542,190,15.2,7.3,607,83,0,2002,2,1,N/A,N/A,9,48,27,24,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B",39.7,161,N/A,6.5
178,Leopold Neighborhood Association,No,121.8,553,29,1105,10.3,27.1,5.3,45,24.5,6.5,4.2,19.7,499,243,29.3,17.1,541,156,0,1981,4,35,N/A,N/A,25,35,96,21,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,461,N/A,7.4
116,University Apartments Assembly,No,183.8,1174,0.7,2643,13.6,26.8,0.5,29.9,5.4,52.9,4.8,6.9,1120,676,39.8,7.7,51,1,1317,1963,0,0,N/A,N/A,0,2,3,5,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",88.3,1042,N/A,4
348,State-Langdon Neighborhood Association,No,151.5,3313,0.3,10146,0.2,0.3,0.2,78.9,2.4,11.8,2.6,4.3,3152,95,0.3,0.1,2832,2,1601,1966,0,146,N/A,N/A,149,463,1106,114,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"H,P,B,G",100,6904,N/A,7.7
