geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
164,Westhaven Trails Homeowners Assoc,No,158.4,835,45.7,1956,10,26.5,2.8,66.2,13.3,4.9,4.4,11.3,801,466,33.3,10.3,832,0,1990,0,56,221966,127.61,2,38,21,14,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,92.1,313,N/A,6.6
109,Sprecher East Neighborhood Association,No,717.6,980,68.5,2233,8.7,23.6,6.1,86.4,4.4,3,2.8,3.4,942,594,31.1,5.7,1334,0,2003,5,5,249257,126.89,3,25,10,7,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,77901,31,2.9,"B,C",57.6,75,99,7.6
90,Bluff Acres Neighborhood Association,No,441.8,1849,38.5,3725,7.2,18.3,7.7,67.6,9.5,6.5,3.5,12.9,1748,876,20.1,5.3,1931,0,1980,4,24,196438,109.07,24,106,158,47,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",97.3,511,N/A,6.7
146,Midvale Heights Community Association,No,857.2,1569,84.6,3479,5.6,20.1,18.3,83.6,2.9,5.6,2.6,5.3,1518,996,25,3.9,1631,0,1958,3,25,275575,144.88,3,75,22,24,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,83450,26,7,"P,B,G,C",88.6,3603,96.8,6.4
182,Schenk-Atwood-Starkweather-Yahara Neighborhood Association,No,571.3,3117,51.4,5773,4.9,15.6,6.2,88,3.7,1.6,2.9,3.8,2996,1189,17.7,4.3,3316,0,1926,2,113,256479,189.91,25,245,278,93,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",99.5,3161,N/A,6
166,Glacier Ridge Neighborhood Association,No,195.4,576,86.3,1385,11.1,27.9,2.7,83.3,2.8,8.1,1.6,4.3,550,363,39.7,3.1,579,0,2002,2,9,271654,131.13,0,21,0,1,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,6.2,0,N/A,7.9
118,Wexford Village Homeowners Association,No,407.6,1231,60.7,2506,4.8,19.7,15.6,84.3,1.6,8.1,2.7,3.3,1164,658,22.5,1.8,1150,0,1992,2,4,332894,130.27,3,27,15,13,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",75.7,352,N/A,6.7
181,Monona Bay Neighborhood Association,No,85.4,653,9.5,1138,4.5,14.7,7.5,53.3,9.8,25.5,2.6,8.7,627,162,11.3,3.8,808,0,1976,0,11,312189,193.73,6,39,78,26,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,26490,19,18.1,"H,P,B,G",93.8,2236,73.8,6.8
140,Vilas Neighborhood Association,No,195.4,724,48.3,1881,3.2,13.4,6.6,90.8,1,3.5,2,2.8,705,321,20.1,2,788,7,1921,0,20,527156,225.9,4,66,22,20,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"H,P,B,G,C",57,1321,N/A,6.6
125,Blackhawk Homeowners Association,No,300.5,961,51.3,2168,6.6,29.3,5.3,83.4,1.5,10.5,2.6,2,879,551,37.4,5.1,1304,0,2001,0,0,582885,141.41,0,1,1,1,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,5.1,0,N/A,7.5
172,Oakwood Village Association,No,29.8,100,25.7,119,0,0,97.9,98.3,0.2,0.8,0.5,0.3,86,16,0,0,626,0,1975,0,0,N/A,N/A,0,5,1,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",100,516,N/A,8
117,Spring Harbor Neighborhood Association,No,372.6,1163,69.4,2224,6.4,17.4,12.2,78,5.2,5,3.4,8.4,1087,554,20.7,4.6,1251,0,1959,3,11,365240,184.94,2,40,27,19,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",91.2,1004,N/A,4.5
115,Tenney-Lapham Neighborhood Association,No,306.1,2232,29.5,4149,2.9,9.5,3.4,87.1,4.3,2,2.6,4.1,2113,541,9.8,2.5,3282,0,1928,0,128,338150,193.58,18,161,123,95,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,50954,52,4.9,"B,G,C",100,2675,89.2,6.8
93,Nobel Park Neighborhood Association,No,63.9,167,82.3,353,6.3,20.7,9.4,72.2,7.4,1.4,5.1,13.9,158,87,22.2,4.4,168,0,1955,1,8,146716,121.36,3,15,29,7,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",100,484,N/A,6.6
108,Worthington Park Neighborhood Association,No,47.7,288,22.8,701,11.5,38.6,2.5,30.7,47,9.2,3.6,9.5,247,156,45.8,30.1,283,0,1959,0,3,148019,135.76,8,32,80,9,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,C",98.4,1183,N/A,4.9
178,Leopold Neighborhood Association,No,121.7,553,29,1106,10.3,27.1,5.3,45,24.5,6.5,4.2,19.7,499,243,29.3,17.1,540,0,1981,1,31,N/A,N/A,6,34,78,16,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,446,N/A,7
363,Cherokee Garden Condominium Association,N/A,62.9,558,97.1,783,0.6,1.9,49.3,95.7,1.2,0.8,N/A,0.8,508,210,2.2,1.1,628,0,1985,0,0,N/A,N/A,0,3,1,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,100,20,N/A,7.1
137,South Campus Property Owners Association,No,113.2,1528,0,4194,0,0.1,0.3,80.5,2.6,11.9,2.3,2.7,1448,28,0.1,0.1,1979,182,1989,0,8,N/A,N/A,18,116,107,32,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,18205,47,8.4,"H,P,B,G,C",100,6206,41.8,7
116,University Apartments Assembly,No,183.8,1174,0.7,2643,13.6,26.8,0.5,29.9,5.4,52.9,4.8,6.9,1120,676,39.8,7.7,52,1188,1963,0,0,N/A,N/A,0,0,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",92.9,1042,N/A,4
350,Marbella Condominium Association,No,20.1,349,24.4,463,4.8,10.1,23,78.8,2.9,14.6,1.3,2.4,292,94,11.1,3.8,318,0,1996,0,0,N/A,N/A,0,3,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G",100,516,N/A,7.4
162,Highland Manor Home Owners Association,No,78.3,157,92.2,344,5.8,20,16.5,61.5,2.4,1.2,3.7,31.2,151,80,21.5,4.3,364,0,1971,0,0,N/A,N/A,1,12,9,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,48.7,317,N/A,7
348,State-Langdon Neighborhood Association,No,151.6,3313,0.3,10144,0.2,0.3,0.2,78.9,2.4,11.8,2.6,4.3,3151,95,0.3,0.1,4365,2568,1970,0,35,N/A,N/A,87,378,620,95,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,11801,63,7.8,"H,P,B,G",100,7368,38.2,7.7
361,Truax Neighborhood Association,No,21.5,80,0,191,12.8,43.3,2.7,19.5,38.5,21.1,10.2,10.7,72,55,55.3,42.6,196,0,2014,0,0,N/A,N/A,5,12,38,15,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",100,766,N/A,4.4
