"geo_key","name","bndry_chg","acres","hu_10","pc_own_10","tot_pop_10","pc_un5_10","pc_un18_10","pc_ov64_10","pc_wht_10","pc_afrm_10","pc_asn_10","pc_othm_10","pc_hisp_10","hh_10","fam_10","pc_fmwc_10","pc_fhwc_10","du_cty","asst_unts","du_cmps","yrblt_mdn","prd_viol","avg_huval","sqft_val","avg_c_hval","sqft_c_val","avg_n_hval","sqft_n_val","crm_pers","crm_prop","crm_scty","crash","prmry_ems","prmry_fire","pc_vterm","pc_appr","pc_krdy","pc_nhsg","pc_clgg","pc_hmbl","pc_frlu","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","fam_pov","pc_unem","gds_svcs","pc_trst","trst_trps","pc_ownvh","avg_stcnd"
"80","Elderberry","Yes","899.1","294","63.7","581","10.7","29.7","17.9","85.7","1.8","9.5","1.6","1.4","243","151","36.1","3.9","767","0","0","2013","10","488350","164.6","274952.3","161.5","442626","165.5","0","21","2","58",186,90,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",2,260,194,""N/A"",""N/A"",""N/A"","None","0","0",""N/A"","7.4"
"59","Gammon","No","426.1","1319","63","2643","4.6","19.2","16.5","84.8","1.5","7.9","2.6","3.3","1249","693","21.5","1.7","1322","0","0","1991","6","362763","141.2","228130.6","160.1","306850","141.1","0","14","5","29",323,90,""suppressed"","84.6",""suppressed"",""suppressed"","91.6",""suppressed"","14.5",7,353,130,"85306","0","0","P,B","45.5","352","92.7","6.3"
"48","Midvale","No","448.2","1472","89.8","3146","5.8","20.8","17.3","91.3","0.9","3.8","2.2","1.9","1399","869","27.1","4.5","1574","0","0","1954","22","336925","180.7","325448.9","287.2","312325.4","175.7","2","35","8","30",137,61,"91.4","91.3","86.8",""suppressed"","92.1",""suppressed"","7.1",8,290,232,"97507","4","2.1","G","97.6","1472","97.7","6.1"
"69","Eagle Heights","No","522.9","1227","3","2716","13.4","26.4","1.1","31.1","5.3","52","4.7","6.9","1162","698","38.8","7.5","51","0","1196","1963","0",""N/A"",""N/A"","377730","287.6",""N/A"",""N/A"","4","2","1","15",56,91,"95.9","75.7","88.4",""suppressed"","97.9","28.3","33.5",7,452,462,"39313","167","0.5","P,B,G","88.3","4120","77.3","4.2"
"17","Milwaukee","No","928.5","2031","83.8","5130","6.2","21","15.1","83.7","5","1.5","2.4","7.4","1977","1454","28.7","6.2","2084","24","0","1969","40","232929","131.5","106445","101.3","234059.8","127.8","20","104","96","81",510,193,"93","92.3","84.1","3.7","50.2","2.3","46.3",17,559,348,"73031","87","3","P,B,G","91.2","416","92.9","6.4"
"83","University Ridge","No","685.1","201","17","310","4.7","11.2","2.2","86","2.9","7.1","2.1","1.8","191","54","10.2","1.6","410","0","0","2010","10","441600","164.3",""N/A"",""N/A"","429883","160.1","0","9","2","24",25,12,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",0,0,0,""N/A"",""N/A"",""N/A"","None","92.9","70",""N/A"","7.7"
"51","University Hills","No","580.8","3126","30.7","5372","4.3","13.7","18","66.9","2.9","24.4","2.6","3.2","2946","1149","14.5","2.7","3362","253","0","1969","22","373444","173.4","349512.8","239.8","347161.2","177.2","3","164","40","105",369,270,"91.8","87.3","93.3",""suppressed"","89.3","4.2","15.7",8,397,359,"60630","107","6.1","P,B,G","89.6","3246","87","6.7"
"6","Eastmorland","No","719.2","1624","81.2","3166","6","16.3","14.1","89.6","2.6","1","2.4","4.4","1562","810","19.4","5","1796","155","0","1954","41","206905","171","309056.3","213.3","192784.9","164.8","16","273","109","72",300,124,"86","91.3","73.1",""suppressed"","53.8","4","42.4",10,559,372,""N/A"",""N/A"",""N/A"","P,B,G","96","3104",""N/A"","6.4"
"22","Mendota","No","628","363","80.3","1341","5.9","14.8","8.8","82.4","8.3","3.6","3.1","2.6","350","244","28.3","5.2","314","7","0","1993","7","293917","139.4","170566.7","129.7","347030.8","161.5","21","14","4","11",147,65,""suppressed"",""suppressed"","72.5",""suppressed"","67.4",""suppressed"","39.5",7,111,103,""N/A"",""N/A"",""N/A"","None","47.5","258",""N/A"","6.7"
"41","Near West","No","303.6","6652","2","16318","0.3","0.5","0.6","80.9","2.5","9.6","2.8","4.3","6287","288","0.6","0.2","9230","41","2710","1973","200","322355","182.3","608795.7","449.6","345570.8","203.3","132","586","711","315",1095,998,""suppressed"","75.6",""suppressed"",""suppressed"","76.7",""suppressed"","43.5",4,100,96,"25868","129","4.3","P,B,G","99","6815","55","6.7"
"64","Greentree","No","976.7","3130","44.5","6652","7","24.3","13.1","63.5","18.3","4.4","4.1","9.7","2929","1573","24.7","9.5","3270","181","0","1981","129","248869","120.1","125950.5","116.8","227733.3","118.1","32","349","241","170",752,392,"90","81.7","67.3","8","27.6","7.8","72.3",26,979,495,"57159","329","3.2","P,B,G","83.9","1182","93.5","6.2"
"67","Arbor-McKee","No","483.5","1554","35.9","3202","7.8","22.2","9.2","59.1","18.5","4.7","4.5","13.1","1420","750","25.5","11.6","1522","117","0","1979","130","315004","117.3","115622.2","103.3","282309.1","109","32","117","156","89",334,141,"88.4","80.3","57.5","14.2","22.9","4.5","78.1",9,383,165,""N/A"",""N/A"",""N/A"","P,B,G","96.5","863",""N/A"","6.1"
"70","Badger","No","752.8","1418","58.5","3296","8.9","26.9","5.9","52","11.6","5.7","4.1","26.6","1302","738","31.7","8.5","1511","201","0","1973","56","217912","136.4","125125","121.6","217421.6","139.2","18","79","153","67",336,120,"93.1","76.9","46.1","12.1","20.9","6.2","79.4",7,50,25,""N/A"",""N/A"",""N/A"","P,B","63.7","357",""N/A"","5.9"
