geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,prd_viol,avg_huval,sqft_val,avg_c_hval,sqft_c_val,avg_n_hval,sqft_n_val,crm_pers,crm_prop,crm_scty,crash,prmry_ems,prmry_fire,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,cc_prvdrs,cc_cpcty,cc_enrlmt,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
85,Sherman Village Neighborhood Association,No,311.8,1016,90.2,2283,6,19.8,19.3,82.2,5.5,3,2.9,6.3,979,613,21.3,3.7,1025,4,0,1966,24,183035,123.31,246482.1,131.94,170463,122.95,2,26,24,14,209,79,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,2,35,5,N/A,N/A,N/A,None,98.5,246,N/A,6.5
361,Truax Neighborhood Association,No,21.5,80,0,191,12.8,43.3,2.7,19.5,38.5,21.1,10.2,10.7,72,55,55.3,42.6,274,153,0,2016,0,N/A,N/A,N/A,N/A,N/A,N/A,2,12,36,13,52,29,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1,32,31,N/A,N/A,N/A,"P,B",100,766,N/A,4.4
144,Tamarack Trails Community Condominium Association,No,63.8,238,62.8,464,10.5,26.4,25.5,58,23,6,5.6,7.5,224,137,30.1,21.8,320,0,0,1978,0,254752,124.08,N/A,N/A,240958.1,120.67,0,11,0,3,46,28,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,3,170,65,N/A,N/A,N/A,None,93.2,275,N/A,8.1
140,Vilas Neighborhood Association,No,195.4,724,48.3,1881,3.2,13.4,6.6,90.8,1,3.5,2,2.8,705,321,20.1,2,787,0,7,1921,17,576060,246.31,N/A,N/A,365131,231.21,0,42,21,31,71,95,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,5,166,89,N/A,N/A,N/A,"P,B,G",56.2,1380,N/A,7.3
116,University Apartments Assembly,No,183.8,1174,0.7,2643,13.6,26.8,0.5,29.9,5.4,52.9,4.8,6.9,1120,676,39.8,7.7,51,0,1196,1963,0,N/A,N/A,377364,292.32,N/A,N/A,0,1,0,3,6,24,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,4,252,163,N/A,N/A,N/A,G,92.9,1042,N/A,4
129,Sunset Village Neighborhood Association,No,265.8,931,79.2,1842,6.1,17.7,13,87.4,2,4.4,2.7,3.5,899,470,20.3,3.4,940,0,0,1948,8,304599,189.76,127883.3,148.04,271520.3,197.57,3,15,10,68,155,114,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,4,151,43,N/A,N/A,N/A,"P,B,G",98.9,3245,N/A,6.3
115,Tenney-Lapham Neighborhood Association,No,306.1,2232,29.5,4149,2.9,9.5,3.4,87.1,4.3,2,2.6,4.1,2113,541,9.8,2.5,3364,207,0,1928,77,357432,205.57,257544.8,246.85,299082.3,196.27,17,185,181,223,582,314,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,6,373,361,56077,13,3.2,"B,G",100,2675,87.3,7.1
353,Twin Oaks Neighborhood Association,No,26.2,56,91,192,10,42.6,0.9,52.3,12.4,10,12,13.3,54,44,57.8,22.6,114,0,0,2005,6,213922,141.16,117430,105.4,197433.3,151.02,0,1,6,3,12,8,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,4,78,13,N/A,N/A,N/A,None,100,93,N/A,7
128,Walnut Grove Homeowners Association,No,152.3,398,87.5,981,5.5,21.3,15.4,80.7,3.4,9.4,1.8,4.6,390,298,28.6,5.1,351,0,0,1976,2,318243,120.83,106200,107.43,303203,116.63,0,12,6,16,55,23,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,7,319,191,N/A,N/A,N/A,None,67.8,487,N/A,8
149,Waunona Neighborhood Association,No,191.8,499,62.5,1027,6.4,20.8,14.5,71,11.4,5,2.6,10,466,266,22.9,7.6,354,12,0,1959,3,389808,183.8,N/A,N/A,305217,176.45,2,20,22,15,76,41,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,2,137,11,N/A,N/A,N/A,B,70.6,417,N/A,6.8
86,Westchester Gardens Neighborhood Association,No,522.3,522,61.2,1302,7.2,24.8,4.2,65.7,8.3,3.9,2.6,19.6,501,315,31,8.9,530,0,0,1985,19,208572,130.2,109040,105.62,185271.9,133.46,15,64,88,73,195,121,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,7,99,38,N/A,N/A,N/A,"P,B,G",65.1,1022,N/A,7.2
164,Westhaven Trails Homeowners Assoc,No,158.4,835,45.7,1956,10,26.5,2.8,66.2,13.3,4.9,4.4,11.3,801,466,33.3,10.3,832,0,0,1990,15,233925,133.84,140166.7,118.98,226013.8,138.44,4,48,19,5,83,48,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,4,78,80,N/A,N/A,N/A,None,92.1,313,N/A,6.6
147,Westmorland Neighborhood Association,No,342.6,1031,87.4,2207,6.2,22.2,15,91.7,0.5,3.9,2.2,1.7,972,594,28.9,4.6,1093,0,0,1951,12,319744,178.76,292844.4,258.41,296726.2,168.79,0,29,8,42,111,61,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,7,205,168,95217,5,0.5,G,99.5,1466,96.4,6
